,accuracy,precision,recall,f1_score,f2_score,auc_roc,tn,fp,fn,tp,fnr,fpr
Random Forest,0.8995956873315364,0.7988505747126436,0.9045553145336226,0.8484231943031536,0.8812341504649197,0.9508145622483316,918.0,105.0,44.0,417.0,0.09544468546637744,0.10263929618768329
Gradient Boosting,0.9002695417789758,0.8050682261208577,0.89587852494577,0.8480492813141683,0.8761137038608401,0.9595581453044193,923.0,100.0,48.0,413.0,0.10412147505422993,0.09775171065493646
XGBoost,0.8975741239892183,0.8047337278106509,0.8850325379609545,0.8429752066115702,0.8677158655891111,0.9533972430200827,924.0,99.0,53.0,408.0,0.11496746203904555,0.0967741935483871
Logistic Regression,0.8847708894878706,0.7715355805243446,0.8937093275488069,0.828140703517588,0.8662741799831791,0.9546991855437731,901.0,122.0,49.0,412.0,0.10629067245119306,0.11925708699902249
AdaBoost,0.8935309973045822,0.811088295687885,0.8568329718004338,0.8333333333333334,0.8472758472758473,0.9501932769723687,931.0,92.0,66.0,395.0,0.14316702819956617,0.08993157380254155
LightGBM,0.8901617250673854,0.8016194331983806,0.8590021691973969,0.8293193717277487,0.8468776732249786,0.9523921603552141,925.0,98.0,65.0,396.0,0.14099783080260303,0.09579667644183773
Extra Trees,0.889487870619946,0.8087318087318087,0.8438177874186551,0.8259023354564756,0.8365591397849462,0.9499950169952269,931.0,92.0,72.0,389.0,0.1561822125813449,0.08993157380254155
Decision Tree,0.8564690026954178,0.7339622641509433,0.8438177874186551,0.7850655903128153,0.8192923336141533,0.8597708241889894,882.0,141.0,72.0,389.0,0.1561822125813449,0.1378299120234604
KNN,0.851078167115903,0.7352941176470589,0.8134490238611713,0.772399588053553,0.796516567544605,0.9072524983937762,888.0,135.0,86.0,375.0,0.18655097613882862,0.13196480938416422
Naive Bayes,0.761455525606469,0.8543046357615894,0.279826464208243,0.4215686274509804,0.3233082706766917,0.9352601658598441,1001.0,22.0,332.0,129.0,0.720173535791757,0.021505376344086023
